year,datanum,serial,hhwt,region
2014,1,107,12500,32
2014,1,107,12500,32
2014,1,108,10400,32
2014,1,109,4000,32
2014,1,110,5900,32
2014,1,111,12100,32
2014,1,111,12100,32
2014,1,112,5900,32
2014,1,113,25200,32
2014,1,113,25200,32
2014,1,113,25200,32
2014,1,113,25200,32
2014,1,114,1200,32
2014,1,114,1200,32
2014,1,115,9500,32
2014,1,116,20100,32
2014,1,117,1500,32
2014,1,117,1500,32
2014,1,118,37800,32
2014,1,118,37800,32
2014,1,119,2000,32
2014,1,119,2000,32
2014,1,120,14900,32
2014,1,120,14900,32
2014,1,121,6900,32
2014,1,121,6900,32
2014,1,122,15500,32
2014,1,122,15500,32
2014,1,122,15500,32
2014,1,123,3500,32
2014,1,123,3500,32
2014,1,123,3500,32
2014,1,123,3500,32
2014,1,124,5900,32
2014,1,124,5900,32
2014,1,125,6400,32
2014,1,126,44600,32
2014,1,126,44600,32
2014,1,126,44600,32
2014,1,127,1200,32
2014,1,128,12700,32
2014,1,129,12300,32
2014,1,129,12300,32
2014,1,130,2700,32
2014,1,131,10700,32
2014,1,131,10700,32
2014,1,131,10700,32
2014,1,131,10700,32
2014,1,132,5900,32
2014,1,133,12400,32
2014,1,133,12400,32
2014,1,134,1500,32
2014,1,134,1500,32
2014,1,135,12400,32
2014,1,135,12400,32
2014,1,135,12400,32
2014,1,136,10600,32
2014,1,136,10600,32
2014,1,137,6600,32
2014,1,137,6600,32
2014,1,137,6600,32
2014,1,137,6600,32
2014,1,138,7800,32
2014,1,139,1400,32
2014,1,139,1400,32
2014,1,140,38400,32
2014,1,140,38400,32
2014,1,140,38400,32
2014,1,141,6500,32
2014,1,142,9500,32
2014,1,143,18600,32
2014,1,143,18600,32
2014,1,143,18600,32
2014,1,143,18600,32
2014,1,144,1600,32
2014,1,145,8500,32
2014,1,145,8500,32
2014,1,146,10100,32
2014,1,146,10100,32
2014,1,147,800,32
2014,1,147,800,32
2014,1,148,7900,32
2014,1,149,900,32
2014,1,149,900,32
2014,1,150,9400,32
2014,1,151,2000,32
2014,1,151,2000,32
2014,1,152,4500,32
2014,1,152,4500,32
2014,1,152,4500,32
2014,1,152,4500,32
2014,1,153,13200,32
2014,1,154,4600,32
2014,1,155,13400,32
2014,1,155,13400,32
2014,1,156,18000,32
2014,1,156,18000,32
2014,1,157,7000,32
2014,1,157,7000,32
2014,1,158,3900,32
2014,1,159,3600,32
2014,1,159,3600,32
2014,1,159,3600,32
2014,1,160,2500,32
2014,1,160,2500,32
2014,1,160,2500,32
2014,1,160,2500,32
2014,1,161,30200,32
2014,1,161,30200,32
2014,1,161,30200,32
2014,1,161,30200,32
2014,1,161,30200,32
2014,1,161,30200,32
2014,1,162,2900,32
2014,1,162,2900,32
2014,1,162,2900,32
2014,1,162,2900,32
2014,1,162,2900,32
2014,1,163,9900,32
2014,1,164,5700,32
2014,1,164,5700,32
2014,1,165,5500,32
2014,1,165,5500,32
2014,1,165,5500,32
2014,1,166,2300,32
2014,1,166,2300,32
2014,1,167,12300,32
2014,1,167,12300,32
2014,1,168,2300,32
2014,1,169,1400,32
2014,1,169,1400,32
2014,1,169,1400,32
2014,1,169,1400,32
2014,1,169,1400,32
2014,1,169,1400,32
2014,1,170,6900,32
2014,1,170,6900,32
2014,1,171,1600,32
2014,1,171,1600,32
2014,1,172,14400,32
2014,1,172,14400,32
2014,1,172,14400,32
2014,1,172,14400,32
2014,1,173,10800,32
2014,1,174,34700,32
2014,1,174,34700,32
2014,1,174,34700,32
2014,1,174,34700,32
2014,1,174,34700,32
2014,1,175,10700,32
2014,1,176,2200,32
2014,1,176,2200,32
2014,1,177,10900,32
2014,1,178,41300,32
2014,1,178,41300,32
2014,1,179,9500,32
2014,1,180,1500,32
2014,1,180,1500,32
2014,1,180,1500,32
2014,1,180,1500,32
2014,1,181,52700,32
2014,1,181,52700,32
2014,1,182,5500,32
2014,1,182,5500,32
2014,1,183,5800,32
2014,1,184,4500,32
2014,1,184,4500,32
2014,1,185,5900,32
2014,1,186,3100,32
2014,1,187,1300,32
2014,1,187,1300,32
2014,1,188,10000,32
2014,1,189,9600,32
2014,1,189,9600,32
2014,1,190,3500,32
2014,1,191,9400,32
2014,1,192,1900,32
2014,1,193,1800,32
2014,1,194,2500,32
2014,1,194,2500,32
2014,1,194,2500,32
2014,1,194,2500,32
2014,1,194,2500,32
2014,1,194,2500,32
2014,1,195,11300,32
2014,1,195,11300,32
2014,1,196,2200,32
2014,1,197,1500,32
2014,1,197,1500,32
2014,1,198,8900,32
2014,1,199,6100,32
2014,1,200,2500,32
2014,1,201,7300,32
2014,1,201,7300,32
2014,1,202,5400,32
2014,1,202,5400,32
2014,1,203,12500,32
2014,1,203,12500,32
2014,1,203,12500,32
2014,1,203,12500,32
2014,1,204,12900,32
2014,1,204,12900,32
2014,1,204,12900,32
2014,1,204,12900,32
2014,1,205,7700,32
2014,1,206,5200,32
2014,1,207,7000,32
2014,1,208,3300,32
2014,1,209,2200,32
2014,1,209,2200,32
2014,1,209,2200,32
2014,1,210,13000,32
2014,1,210,13000,32
2014,1,211,4900,32
2014,1,211,4900,32
2014,1,212,1400,32
2014,1,213,16400,32
2014,1,213,16400,32
2014,1,214,6000,32
2014,1,214,6000,32
2014,1,215,12000,32
2014,1,215,12000,32
2014,1,216,2100,32
2014,1,216,2100,32
2014,1,216,2100,32
2014,1,216,2100,32
2014,1,217,12600,32
2014,1,218,29700,32
2014,1,218,29700,32
2014,1,218,29700,32
2014,1,218,29700,32
2014,1,219,9400,32
2014,1,219,9400,32
2014,1,219,9400,32
2014,1,219,9400,32
2014,1,220,34600,32
2014,1,220,34600,32
2014,1,220,34600,32
